FSC,RSG_ab
54.42005739,281.7365557
54.42005739,174.4959566
53.77216835,168.337561
53.77216835,110.6956173
55.73934836,889.5738344
55.07575271,366.6696881
55.73934836,345.3566158
55.73934836,212.6225019
55.73934836,196.6979466
55.73934836,132.4805474
55.73934836,97.0318971
55.07575271,93.60740051
55.73934836,83.04160352
55.73934836,77.28354799
57.09062254,384.6633349
57.09062254,281.7365557
56.41093952,176.59842
58.47465531,675.3808561
57.77849491,599.1482401
57.77849491,571.1214935
58.47465531,351.6170684
58.47465531,239.6755222
58.47465531,215.1843437
59.89224081,534.7127658
59.89224081,446.7852893
59.89224081,418.3029364
59.89224081,384.6633349
59.17920358,227.1000219
59.89224081,197.8793837
59.17920358,189.7559877
59.89224081,164.3531903
59.17920358,142.3510874
59.89224081,133.2762722
59.17920358,123.2944248
59.89224081,106.151312
59.89224081,101.7935606
59.89224081,48.44295919
59.17920358,41.95785857
60.61386926,691.7539344
60.61386926,578.002811
60.61386926,349.5177418
62.08331516,827.8913124
62.83134339,734.444304
62.83134339,465.9120315
62.83134339,436.2103577
62.83134339,310.0664433
62.08331516,299.1234286
62.83134339,201.4664426
62.08331516,137.327164
62.08331516,37.67040612
64.35454692,1137.133986
64.35454692,691.7539344
64.35454692,592.0151792
64.35454692,554.2744888
63.58838444,252.9473818
64.35454692,211.3530411
64.35454692,189.7559877
64.35454692,158.5527582
64.35454692,123.2944248
64.35454692,46.73328687
65.91467707,463.1303079
65.12994072,433.6059676
65.12994072,129.3448741
66.70886853,955.8520484
67.51262903,789.1645025
66.70886853,717.0607902
67.51262903,592.0151792
66.70886853,571.1214935
66.70886853,537.9244389
67.51262903,477.2070129
66.70886853,349.5177418
67.51262903,304.545789
66.70886853,262.2011101
66.70886853,227.1000219
67.51262903,172.4185237
67.51262903,137.327164
66.70886853,118.9430584
69.14931973,621.0672453
69.14931973,403.5399871
69.14931973,375.5587637
69.14931973,325.282389
69.14931973,280.0544501
68.32607387,164.3531903
69.14931973,103.0200489
69.14931973,89.22866631
69.14931973,83.04160352
68.32607387,74.55601968
69.98248469,302.7275011
69.98248469,170.3658233
70.82568828,137.327164
72.54269658,636.1236132
72.54269658,494.6649679
72.54269658,441.4661605
72.54269658,398.7357081
72.54269658,380.0837888
72.54269658,333.1681233
71.67905144,265.3603137
72.54269658,227.1000219
74.30132986,578.002811
74.30132986,463.1303079
73.4167476,362.3043624
73.4167476,313.8023657
73.4167476,292.0434959
74.30132986,252.9473818
74.30132986,196.6979466
74.30132986,176.59842
74.30132986,152.9570376
74.30132986,121.8265633
73.4167476,48.44295919
76.10259722,438.8303907
76.10259722,380.0837888
76.10259722,345.3566158
77.94753223,747.7579443
77.0195407,708.5239409
77.0195407,621.0672453
77.94753223,477.2070129
77.0195407,265.3603137
77.0195407,103.0200489
79.8371935,853.0548173
79.8371935,500.6250774
80.15656119,397.1470259
78.88670492,380.0837888
78.88670492,288.56662
79.8371935,276.7203079
79.8371935,251.4371617
79.8371935,239.6755222
79.8371935,211.3530411
79.8371935,183.0590277
79.8371935,118.9430584
79.8371935,51.74145255
79.8371935,49.61734895
81.77266533,775.113629
82.75792621,717.0607902
82.75792621,628.5503482
83.75505829,329.201645
82.75792621,285.1311376
