FSC,RSG_ab
160.5778426,229.8836358
160.5778426,94.26134609
160.5778426,65.67060764
160.5778426,42.56140064
160.5778426,39.11932067
160.5778426,27.58422512
164.493898,71.44891564
162.5240759,58.21704629
168.5054554,197.7456655
166.4875947,111.5790995
168.5054554,89.28720885
168.5054554,25.81572412
172.6148437,367.7557235
172.6148437,275.4161217
172.6148437,138.5991011
172.6148437,78.67782327
172.6148437,72.31488981
172.6148437,62.95913189
172.6148437,44.12778941
172.6148437,30.37508364
172.6148437,18.53539842
174.7069677,198.9404134
176.8244487,92.57324922
174.7069677,25.35339842
178.967594,350.4540583
178.967594,213.8530934
178.967594,110.2429346
181.1367146,98.91496107
181.1367146,82.0662596
178.967594,53.50884293
181.1367146,49.77749523
178.967594,30.0113406
185.5541448,456.8114722
185.5541448,381.2902507
185.5541448,367.7557235
185.5541448,61.09118006
185.5541448,55.81332086
185.5541448,45.75182603
187.8030956,101.3272271
187.8030956,80.59656071
190.0793041,50.07824295
190.0793041,43.59935708
192.3831007,111.5790995
192.3831007,75.885024
192.3831007,70.59331156
194.7148197,66.46654764
192.3831007,37.2788887
192.3831007,30.0113406
192.3831007,25.97169863
199.4633829,395.3228895
199.4633829,128.9341297
199.4633829,103.7983217
199.4633829,89.82666799
199.4633829,58.21704629
199.4633829,52.86807205
199.4633829,32.84929448
199.4633829,23.87128223
201.8809162,64.88419906
206.8042409,172.1622679
209.3107468,127.3901375
206.8042409,110.2429346
206.8042409,58.21704629
206.8042409,45.75182603
206.8042409,24.16060662
206.8042409,20.90849596
214.4152649,476.4850794
214.4152649,456.8114722
214.4152649,285.5522712
214.4152649,97.73044981
215.2780395,63.08567374
214.4152649,54.48459037
214.4152649,40.80408166
215.2780395,35.95561298
217.0140178,130.4968353
225.0007925,147.2044189
222.3063976,102.5553319
222.3063976,76.80476463
225.0007925,66.46654764
225.0007925,61.83161655
225.0007925,46.30634668
222.3063976,37.2788887
225.0007925,34.67930911
222.3063976,22.47580801
230.4879479,247.1158362
230.4879479,159.1949956
230.4879479,97.73044981
227.727844,58.21704629
230.4879479,56.15053609
230.4879479,52.23497443
230.4879479,28.2569291
230.4879479,24.45343767
230.4879479,19.21755735
236.1089201,147.2044189
233.2815048,68.08748538
233.2815048,63.33952097
233.2815048,47.43563213
233.2815048,33.85370951
236.1089201,21.16191082
238.9706042,376.7242822
238.9706042,182.8514501
238.9706042,160.1568264
238.9706042,102.5553319
238.9706042,71.44891564
238.9706042,58.21704629
238.9706042,36.83247227
238.9706042,27.91855107
238.9706042,24.16060662
247.7654479,97.73044981
247.7654479,67.27213458
247.7654479,64.88419906
247.7654479,54.48459037
254.8290553,182.8514501
250.7684113,114.3002092
256.8839687,467.9518576
259.9974502,158.238941
256.8839687,147.2044189
256.8839687,118.506804
256.8839687,110.2429346
256.8839687,71.44891564
256.8839687,52.86807205
256.8839687,45.75182603
259.9974502,30.0113406
256.8839687,25.97169863
256.8839687,24.16060662
266.3380786,409.8719721
266.3380786,236.9126628
266.3380786,200.1423798
266.3380786,133.6792971
266.3380786,103.7983217
266.3380786,93.69525424
266.3380786,80.1125335
266.3380786,39.11932067
263.1486677,38.18801908
266.3380786,33.85370951
263.1486677,33.0477647
269.5661457,162.097957
273.9311778,76.80476463
272.8333376,31.87467971
269.5661457,30.74323532
276.1401285,262.458723
276.1401285,229.8836358
276.1401285,196.5580927
276.1401285,119.9431285
279.4869983,102.5553319
276.1401285,88.75098947
279.4869983,66.46654764
276.1401285,27.91855107
276.1401285,25.66068633
286.3029236,173.202445
286.3029236,159.1949956
286.3029236,108.9227703
287.4549634,96.56012313
282.8744328,93.13256209
286.3029236,72.75180489
286.3029236,69.74795337
286.3029236,43.86277747
282.8744328,42.05172589
286.3029236,33.85370951
286.3029236,26.44529919
286.3029236,18.64738635
293.2850708,83.56275884
289.7729684,64.10720776
289.7729684,25.35339842
296.8397404,160.1568264
