Per_cell,SP1,SP2,SP3,SP4,E1,E2
53,94.0517854,86.06874807,89.86600935,91.18663176,78.92263086,87.71564375
54,94.43971244,86.70152699,90.29464709,91.48596048,79.69848494,88.04909396
55,94.82763947,87.32771671,90.68257412,91.81941069,80.34503,88.45737635
56,94.95694849,87.86530811,91.07050116,92.17321624,80.99157507,88.9746124
57,95.21556651,88.40289951,91.34947454,92.46595575,81.76742915,89.38289478
58,95.47418454,89.14463211,91.84635524,92.70421843,82.41397421,89.80494331
59,95.69868108,89.69598964,92.17980545,93.03766864,83.06051928,90.19287035
60,95.88246693,90.30182401,92.52702179,93.29628666,83.70706434,90.58079739
61,96.1614403,90.68975105,93.01013636,93.6842137,84.35360941,90.98249057
62,96.34522615,91.33629612,93.45254023,94.0517854,84.87084546,91.4111283
63,96.52901199,91.85353217,93.78599044,94.36488025,85.64669954,91.72422316
64,96.73315319,92.37076822,94.06496381,94.67797511,86.16393559,92.24145921
65,97.0258927,92.8131721,94.32358184,95.01142532,86.68117165,92.57490942
66,97.26415538,93.1466223,94.50736769,95.32452018,87.1984077,92.88800428
67,97.46829657,93.53454934,94.71150888,95.73280257,87.71564375,93.22145448
68,97.61796093,94.01766391,94.97012691,95.99142059,88.2328798,93.53454934
69,97.82210212,94.35111412,95.3376986,96.19556179,88.75011586,93.86799955
70,97.95141114,94.73904116,95.59631662,96.50865665,89.26735191,94.18109441
71,98.1010755,95.07249136,95.72562564,96.8624622,89.78458796,94.51454462
72,98.30521669,95.49453989,95.98424366,97.15520171,90.30182401,94.75280729
73,98.41417036,95.82799009,96.26321704,97.39346439,90.81906007,95.0862575
74,98.54347937,96.25003862,96.52183506,97.63172707,91.33629612,95.34487553
75,98.65243304,96.4883013,96.85528527,97.83586826,91.72422316,95.60349355
76,98.72726522,96.76727467,97.1139033,98.09448629,92.1121502,95.86211158
77,98.78174205,96.89658368,97.29768914,98.29862748,92.62938625,96.12072961
78,98.83621888,97.25038924,97.55630717,98.50276868,93.01731329,96.39970298
79,98.96552789,97.48865192,97.75385915,98.70690987,93.40524033,96.63796566
80,99.09483691,97.80174678,98.01247718,98.96552789,93.79316737,96.89658368
81,99.09483691,98.04000946,98.21661837,99.09483691,94.18109441,97.15520171
82,99.22414592,98.31898283,98.42075957,99.22414592,94.69833046,97.3593429
83,99.35345493,98.44829184,98.55006858,99.27862275,94.95694849,97.54312875
84,99.37381028,98.63207769,98.69973294,99.40793177,95.34487553,97.7269146
85,99.48276395,98.78174205,98.80868661,99.48276395,95.65795978,97.93105579
86,99.59171761,98.93140641,98.99247245,99.53724078,96.04588682,98.18967382
87,99.66654979,98.98588324,99.1762583,99.66654979,96.30450485,98.37345966
88,99.79585881,99.06071542,99.25109048,99.72102663,96.67205534,98.57760086
89,99.88288347,99.1355476,99.38039949,99.73321911,97.01922927,98.72726522
90,99.95771565,99.21037978,99.5097085,99.73321911,97.35269008,98.91105106
91,99.97188,99.3396888,99.63901752,99.67255128,97.61130811,99.04036008
92,100.0263568,99.41452098,99.63901752,99.8018603,97.79508335,99.19002444
93,100.101189,99.46899781,99.76832653,99.8018603,98.10816761,99.31933345
94,100.1556658,99.59830682,99.76832653,99.83598178,98.40087532,99.44864246
95,100.1556658,99.74797118,99.74797118,99.83598178,98.71395957,99.52347464
96,100.1353105,99.82280336,99.82280336,99.89045861,98.89773482,99.52347464
97,100.169432,99.89763554,99.89763554,99.94493545,99.08151006,99.52347464
98,100.2239088,99.95211238,99.97246772,99.99941228,99.28566186,99.57795147
99,100.2239088,99.97,99.97246772,99.99941228,99.44008715,99.57795147
100,100.1766089,99.99,100.0325478,100.0325478,99.60348584,99.65278366
