cruise,st,depth_m,substrate,method,repl,silver.grain_um2/h
MOBY,M2,100,Met,MAR,A,0.118884769
MOBY,M2,100,Met,MAR,A,0.490399674
MOBY,M2,100,Met,MAR,A,0.337740822
MOBY,M2,100,Met,MAR,A,0.064846238
MOBY,M2,100,Met,MAR,A,0.112129953
MOBY,M2,100,Met,MAR,A,0.147254998
MOBY,M2,100,Met,MAR,A,0.1067261
MOBY,M2,100,Met,MAR,A,0.661972011
MOBY,M2,100,Met,MAR,A,0.253981098
MOBY,M2,100,Met,MAR,A,0.047283715
MOBY,M2,100,Met,MAR,A,0.328284079
MOBY,M2,100,Met,MAR,A,0.555245912
MOBY,M2,100,Met,MAR,A,0.032423119
MOBY,M2,100,Met,MAR,A,0.074302981
MOBY,M2,100,Met,MAR,A,0.332336969
MOBY,M2,100,Met,MAR,A,0.221557979
MOBY,M2,100,Met,MAR,A,0.074302981
MOBY,M2,100,Met,MAR,A,0.11483188
MOBY,M2,100,Met,MAR,A,0.091865504
MOBY,M2,100,Met,MAR,A,0.067548164
MOBY,M2,100,Met,MAR,A,1.21586696
MOBY,M2,100,Met,MAR,A,0.443115959
MOBY,M2,100,Met,MAR,A,0.010807706
MOBY,M2,100,Met,MAR,A,0.145904035
MOBY,M2,100,Met,MAR,A,0.424202473
MOBY,M2,100,Met,MAR,A,0.101322247
MOBY,M2,100,Met,MAR,A,0.11077899
MOBY,M2,100,Met,MAR,A,0.117533806
MOBY,M2,100,Met,MAR,A,0.018913486
MOBY,M2,100,Met,MAR,A,0.022966376
MOBY,M2,100,Met,MAR,A,0.1067261
MOBY,M2,100,Met,MAR,A,0.024317339
MOBY,M2,100,Met,MAR,A,0.027019266
MOBY,M2,100,Met,MAR,A,0.453923665
MOBY,M2,100,Met,MAR,A,0.085110687
MOBY,M2,100,Met,MAR,A,0.075653944
MOBY,M2,100,Met,MAR,A,0.052687568
MOBY,M2,100,Met,MAR,A,0.077004907
MOBY,M2,100,Met,MAR,A,0.1067261
MOBY,M2,100,Met,MAR,A,0.248577245
MOBY,M2,100,Met,MAR,A,0.294509997
MOBY,M2,100,Met,MAR,A,0.070250091
MOBY,M2,100,Met,MAR,A,0.031072156
MOBY,M2,100,Met,MAR,A,0.035125045
MOBY,M2,100,Met,MAR,A,0.178327154
MOBY,M2,100,Met,MAR,A,0.154009815
MOBY,M2,100,Met,MAR,A,0.1067261
MOBY,M2,100,Met,MAR,A,0.066197201
MOBY,M2,100,Met,MAR,A,0.358005271
MOBY,M2,100,Met,MAR,A,0.416096693
MOBY,M2,100,Met,MAR,A,0.121586696
MOBY,M2,100,Met,MAR,A,0.035125045
MOBY,M2,100,Met,MAR,A,0.022966376
MOBY,M2,100,Met,MAR,A,0.01215867
MOBY,M2,100,Met,MAR,A,0.31207252
MOBY,M2,100,Met,MAR,A,0.081057797
MOBY,M2,100,Met,MAR,A,0.029721192
MOBY,M2,100,Met,MAR,A,0.20129353
MOBY,M2,100,Met,MAR,A,0.079706834
MOBY,M2,100,Met,MAR,A,0.052687568
MOBY,M2,100,Met,MAR,A,0.140500182
MOBY,M2,100,Met,MAR,A,0.054038532
MOBY,M2,100,Met,MAR,A,0.183731007
MOBY,M2,100,Met,MAR,A,0.256683025
MOBY,M2,100,Met,MAR,A,0.221557979
MOBY,M2,100,Met,MAR,A,0.104024173
MOBY,M2,100,Met,MAR,A,0.1067261
MOBY,M2,100,Met,MAR,A,0.11483188
MOBY,M2,100,Met,MAR,A,0.286404217
MOBY,M2,100,Met,MAR,A,0.070250091
MOBY,M2,100,Met,MAR,A,0.145904035
MOBY,M2,100,Met,MAR,A,0.09862032
MOBY,M2,100,Met,MAR,A,0.285053254
MOBY,M2,100,Met,MAR,A,0.229663759
MOBY,M2,100,Met,MAR,A,0.00810578
MOBY,M2,100,Met,MAR,A,0.198591603
MOBY,M2,100,Met,MAR,A,0.126990549
MOBY,M2,100,Met,MAR,A,0.020264449
MOBY,M2,100,Met,MAR,A,0.202644493
MOBY,M2,100,Met,MAR,A,0.018913486
MOBY,M2,100,Met,MAR,A,0.447168848
MOBY,M2,100,Met,MAR,A,0.182380044
MOBY,M2,100,Met,MAR,A,0.11077899
MOBY,M2,100,Met,MAR,A,0.559298801
MOBY,M2,100,Met,MAR,A,0.070250091
MOBY,M2,100,Met,MAR,A,0.175625227
MOBY,M2,100,Met,MAR,A,0.078355871
MOBY,M2,100,Met,MAR,A,0.124288623
MOBY,M2,100,Met,MAR,A,0.085110687
MOBY,M2,100,Met,MAR,A,0.10267321
MOBY,M2,100,Met,MAR,A,0.078355871
MOBY,M2,100,Met,MAR,A,0.09456743
MOBY,M2,100,Met,MAR,A,0.276947474
MOBY,M2,100,Met,MAR,A,0.19724064
MOBY,M2,100,Met,MAR,A,0.170221374
MOBY,M2,100,Met,MAR,A,0.089163577
MOBY,M2,100,Met,MAR,A,0.072952018
MOBY,M2,100,Met,MAR,A,0.036476009
MOBY,M2,100,Met,MAR,A,0.075653944
MOBY,M2,100,Met,MAR,A,0.208048346
MOBY,M2,100,Met,MAR,A,0.093216467
MOBY,M2,100,Met,MAR,A,0.275596511
MOBY,M2,100,Met,MAR,A,0.159413668
MOBY,M2,100,Met,MAR,A,0.467433298
MOBY,M2,100,Met,MAR,A,0.630899856
MOBY,M2,100,Met,MAR,A,0.29180807
MOBY,M2,100,Met,MAR,A,0.047283715
MOBY,M2,100,Met,MAR,A,0.112129953
MOBY,M2,100,Met,MAR,A,0.195889677
MOBY,M2,100,Met,MAR,A,0.112129953
MOBY,M2,100,Met,MAR,A,0.060793348
MOBY,M2,100,Met,MAR,A,0.063495275
MOBY,M2,100,Met,MAR,A,0.079706834
MOBY,M2,100,Met,MAR,A,0.041879862
