cruise,st,depth_m,substrate,method,repl,intensity_MGV.um2/h
MOBY,M2,500,HPG,BONCAT,A,0.362985838
MOBY,M2,500,HPG,BONCAT,A,0.608551748
MOBY,M2,500,HPG,BONCAT,A,0.884365607
MOBY,M2,500,HPG,BONCAT,A,0.999939816
MOBY,M2,500,HPG,BONCAT,A,0.395798117
MOBY,M2,500,HPG,BONCAT,A,1.060814617
MOBY,M2,500,HPG,BONCAT,A,2.069827204
MOBY,M2,500,HPG,BONCAT,A,1.245237273
MOBY,M2,500,HPG,BONCAT,A,1.783098952
MOBY,M2,500,HPG,BONCAT,A,0.691419688
MOBY,M2,500,HPG,BONCAT,A,1.200007399
MOBY,M2,500,HPG,BONCAT,A,3.490262281
MOBY,M2,500,HPG,BONCAT,A,3.878623909
MOBY,M2,500,HPG,BONCAT,A,0.989927034
MOBY,M2,500,HPG,BONCAT,A,2.124558247
MOBY,M2,500,HPG,BONCAT,A,0.326883509
MOBY,M2,500,HPG,BONCAT,A,1.01881767
MOBY,M2,500,HPG,BONCAT,A,4.208825866
MOBY,M2,500,HPG,BONCAT,A,2.869601082
MOBY,M2,500,HPG,BONCAT,A,1.939814848
MOBY,M2,500,HPG,BONCAT,A,1.494469793
MOBY,M2,500,HPG,BONCAT,A,4.50627335
MOBY,M2,500,HPG,BONCAT,A,1.566738273
MOBY,M2,500,HPG,BONCAT,A,1.226667635
MOBY,M2,500,HPG,BONCAT,A,0.557870409
MOBY,M2,500,HPG,BONCAT,A,8.508809567
MOBY,M2,500,HPG,BONCAT,A,4.290277455
MOBY,M2,500,HPG,BONCAT,A,2.185608666
MOBY,M2,500,HPG,BONCAT,A,3.015404344
MOBY,M2,500,HPG,BONCAT,A,2.264539165
MOBY,M2,500,HPG,BONCAT,A,4.947196482
MOBY,M2,500,HPG,BONCAT,A,2.516915468
MOBY,M2,500,HPG,BONCAT,A,4.790107407
MOBY,M2,500,HPG,BONCAT,A,3.424337048
MOBY,M2,500,HPG,BONCAT,A,0.987890517
MOBY,M2,500,HPG,BONCAT,A,0.662785189
MOBY,M2,500,HPG,BONCAT,A,2.375472293
MOBY,M2,500,HPG,BONCAT,A,0.585680064
MOBY,M2,500,HPG,BONCAT,A,1.941995821
MOBY,M2,500,HPG,BONCAT,A,1.041104583
MOBY,M2,500,HPG,BONCAT,A,1.146693472
MOBY,M2,500,HPG,BONCAT,A,2.122933234
MOBY,M2,500,HPG,BONCAT,A,1.208537573
MOBY,M2,500,HPG,BONCAT,A,9.409800264
MOBY,M2,500,HPG,BONCAT,A,0.854069915
MOBY,M2,500,HPG,BONCAT,A,1.223849441
MOBY,M2,500,HPG,BONCAT,A,1.932758373
MOBY,M2,500,HPG,BONCAT,A,1.844181496
MOBY,M2,500,HPG,BONCAT,A,0.337077403
MOBY,M2,500,HPG,BONCAT,A,3.113777356
MOBY,M2,500,HPG,BONCAT,A,3.233633236
MOBY,M2,500,HPG,BONCAT,A,0.514730602
MOBY,M2,500,HPG,BONCAT,A,5.715853191
MOBY,M2,500,HPG,BONCAT,A,0.295472415
MOBY,M2,500,HPG,BONCAT,A,1.503064128
MOBY,M2,500,HPG,BONCAT,A,1.308195474
MOBY,M2,500,HPG,BONCAT,A,0.381442745
MOBY,M2,500,HPG,BONCAT,A,1.094433423
MOBY,M2,500,HPG,BONCAT,A,2.586485469
MOBY,M2,500,HPG,BONCAT,A,1.312904216
MOBY,M2,500,HPG,BONCAT,A,3.298137752
MOBY,M2,500,HPG,BONCAT,A,7.707380047
MOBY,M2,500,HPG,BONCAT,A,3.818436342
MOBY,M2,500,HPG,BONCAT,A,12.07524861
MOBY,M2,500,HPG,BONCAT,A,5.985109351
MOBY,M2,500,HPG,BONCAT,A,0.530809572
